trial_no,vwap_buy_deviation,take_profit_pct,buy_confirm_min_score,notify_sell_threshold,notify_buy_threshold,stock_qty_strong_pct,stock_qty_base_pct,stock_rebuild_strong_pct,stock_first_add_pct,train_win_rate,train_total_pnl,train_n_trades,train_max_drawdown,train_annualized_return,train_composite_score,test_win_rate,test_total_pnl,test_n_trades,test_max_drawdown,test_annualized_return,test_composite_score,elapsed_sec,status
70,-0.02343236269193832,0.010553958848256419,24,42,51,0.5036321085733225,0.26751507298193483,0.7123127696751524,0.2469756141100827,0.0,-3.83,1,-0.0183,0.0544,0.0,0,0,0,0,0,0,227.2,ok
71,-0.018960269540395182,0.010928434514195945,18,51,41,0.5541984700937358,0.3117774117586538,0.8316748464418016,0.2272284577370715,1.0,2.17,1,-0.0133,0.0391,69.2784,0,0,0,0,0,0,193.8,ok
72,-0.017178177221834526,0.01180941053219488,17,48,42,0.5676535994288417,0.3304106281548463,0.8405331164128803,0.2588252352311598,0.0,-3.83,1,-0.0208,0.0621,0.0,0,0,0,0,0,0,176.9,ok
73,-0.016495011395522705,0.01366586975442548,18,50,43,0.589616667778361,0.3225352694062094,0.8763039731764896,0.24012693598144025,0,0,0,0,0,-9999.0,0,0,0,0,0,0,169.6,ok
74,-0.01790481322248659,0.009900180701265361,16,54,42,0.5475264086419221,0.3420321000085765,0.7773870532686208,0.22444805245151817,0.0,-3.83,1,-0.0183,0.0544,0.0,0,0,0,0,0,0,163.4,ok
75,-0.021162022397767894,0.012420735859569744,17,49,44,0.5347392252474585,0.2958072203989371,0.9693307522349196,0.27120120942004855,1.0,2.17,1,-0.0133,0.0391,69.2784,0,0,0,0,0,0,156.0,ok
76,-0.01566054771352121,0.011210229586088324,19,45,47,0.5793669649090637,0.30700539568213947,0.8195609436517695,0.2890283689357074,0.0,-3.83,1,-0.0208,0.0621,0.0,0,0,0,0,0,0,207.2,ok
77,-0.01853024801777902,0.012712733779887539,15,51,46,0.44690292168716944,0.3711264930408777,0.8059562347648188,0.255254950610989,1.0,2.17,1,-0.0133,0.0391,69.2784,0,0,0,0,0,0,173.4,ok
78,-0.028486340685632237,0.007885922072514566,18,56,56,0.5616469805818225,0.39982681378806906,0.7557038598102762,0.2001561275129905,0,0,0,0,0,-9999.0,0,0,0,0,0,0,191.9,ok
79,-0.019447039735842973,0.011698189260619954,17,53,50,0.5731247509967707,0.3484268454917685,0.904706981994282,0.17895971533609709,1.0,2.17,1,-0.0133,0.0391,69.2784,0,0,0,0,0,0,194.5,ok
80,-0.020272717116410263,0.0103148212659336,16,52,68,0.5935262004370014,0.3608411249299715,0.8578113159353536,0.21025140619576366,0,0,0,0,0,-9999.0,0,0,0,0,0,0,215.2,ok
81,-0.022781759214256823,0.01320212045939792,19,49,52,0.545438593946361,0.28738081010616656,0.9484284558952346,0.24892041004915294,1.0,2.17,1,-0.0133,0.0391,69.2784,0,0,0,0,0,0,157.9,ok
82,-0.02258116114274157,0.015032408462648555,21,48,54,0.5375775472211104,0.2969179615078673,0.9071698202500632,0.27589437808774075,0,0,0,0,0,-9999.0,0,0,0,0,0,0,154.7,ok
83,-0.024529118396331418,0.01338247247590731,19,49,53,0.5229994033125838,0.319647552580089,0.9343021126699336,0.30295709585251734,0,0,0,0,0,-9999.0,0,0,0,0,0,0,172.0,ok
84,-0.022053364737417033,0.012088312497475755,20,50,56,0.5507884871809337,0.32700715336264663,0.8906821835548864,0.23469240995842308,0,0,0,0,0,-9999.0,0,0,0,0,0,0,164.1,ok
85,-0.02172285648596019,0.014040505766891063,17,46,49,0.5643587982185816,0.26008879336996393,0.8412014500272357,0.26115685708318914,0.0,-3.83,1,-0.0208,0.0621,0.0,0,0,0,0,0,0,180.8,ok
